state_and_capital,geo_zone,date,average_price
Delta,South South,2020-01-01,144.64
Delta,South South,2020-02-01,145.242105263158
Delta,South South,2020-03-01,144.5
Delta,South South,2020-04-01,126.92307692307692
Delta,South South,2020-05-01,125.2
Delta,South South,2020-06-01,125
Delta,South South,2020-07-01,144.388888888889
Delta,South South,2020-08-01,147.36153846153846
Delta,South South,2020-09-01,159.45454545454547
Delta,South South,2020-10-01,159.3846153846154
Delta,South South,2020-11-01,167.52666666666667
Delta,South South,2020-12-01,166.35
Delta,South South,2021-01-01,164.775
Delta,South South,2021-02-01,163.5
Delta,South South,2021-03-01,170.1153846153846
Delta,South South,2021-04-01,165.15384615384616
Delta,South South,2021-05-01,165.21428571428572
Delta,South South,2021-06-01,165.96153846153845
Delta,South South,2021-07-01,167.615384615385
Delta,South South,2021-08-01,163.56666666666666
Delta,South South,2021-09-01,163.090909090909
Delta,South South,2021-10-01,163.5
Delta,South South,2021-11-01,165.125
Delta,South South,2021-12-01,163.75
Delta,South South,2022-01-01,166.73333333333332
Delta,South South,2022-02-01,165.42307692307693
Delta,South South,2022-03-01,204.8181818181818
Delta,South South,2022-04-01,170.63
Delta,South South,2022-05-01,169.9090909090909
Delta,South South,2022-06-01,166.58333333333334
Delta,South South,2022-07-01,186.38888888888889
Delta,South South,2022-08-01,178
Delta,South South,2022-09-01,179.74
Delta,South South,2022-10-01,188.055555555556
Delta,South South,2022-11-01,190
Delta,South South,2022-12-01,200
Delta,South South,2023-01-01,268.3333333333333
Delta,South South,2023-02-01,233.57142857142858
Delta,South South,2023-03-01,259.1666666666667
Delta,South South,2023-04-01,241.666666666667
Delta,South South,2023-05-01,225
Delta,South South,2023-06-01,542.75
Ebonyi,South East,2019-01-01,145.30769230769232
Ebonyi,South East,2019-02-01,145.5909090909091
Ebonyi,South East,2019-03-01,145.14285714285714
Ebonyi,South East,2019-04-01,146.142857142857
Ebonyi,South East,2019-05-01,146.25
Ebonyi,South East,2019-06-01,145.16666666666666
Ebonyi,South East,2019-07-01,146.42857142857142
Ebonyi,South East,2019-08-01,146.14
Ebonyi,South East,2019-09-01,145.42857142857142
Ebonyi,South East,2019-10-01,145.42857142857142
Ebonyi,South East,2019-11-01,146.66666666666666
Ebonyi,South East,2019-12-01,145.71428571428572
Ebonyi,South East,2020-01-01,145
Ebonyi,South East,2020-02-01,145.625
Ebonyi,South East,2020-03-01,145.5
Ebonyi,South East,2020-04-01,125
Ebonyi,South East,2020-05-01,128.33333333333334
Ebonyi,South East,2020-06-01,124.5
Ebonyi,South East,2020-07-01,143
Ebonyi,South East,2020-08-01,150.16666666666666
Ebonyi,South East,2020-09-01,162.5
Ebonyi,South East,2020-10-01,161.9
Ebonyi,South East,2020-11-01,168.83333333333334
Ebonyi,South East,2020-12-01,168.55555555555554
Ebonyi,South East,2021-01-01,164.5
Ebonyi,South East,2021-02-01,166.42857142857142
Ebonyi,South East,2021-03-01,184.16666666666666
Ebonyi,South East,2021-04-01,172
Ebonyi,South East,2021-05-01,177.4
Ebonyi,South East,2021-06-01,168.33333333333334
Ebonyi,South East,2021-07-01,165.83333333333334
Ebonyi,South East,2021-08-01,170.125
Ebonyi,South East,2021-09-01,162.272727272727
Ebonyi,South East,2021-10-01,166.66666666666666
Ebonyi,South East,2021-11-01,175
Ebonyi,South East,2021-12-01,170.42857142857142
Ebonyi,South East,2022-01-01,169
Ebonyi,South East,2022-02-01,172
Ebonyi,South East,2022-03-01,215
Ebonyi,South East,2022-04-01,165
Ebonyi,South East,2022-05-01,185.625
Ebonyi,South East,2022-06-01,186.66666666666666
Ebonyi,South East,2022-07-01,185.71428571428572
Ebonyi,South East,2022-08-01,205.5
Ebonyi,South East,2022-09-01,203.11
Ebonyi,South East,2022-10-01,205.5
Ebonyi,South East,2022-11-01,210
Ebonyi,South East,2022-12-01,195.833333333333
Ebonyi,South East,2023-01-01,286.3636363636364
Ebonyi,South East,2023-02-01,317.14285714285717
Ebonyi,South East,2023-03-01,301.6666666666667
Ebonyi,South East,2023-04-01,291.428571428571
Ebonyi,South East,2023-05-01,235
Ebonyi,South East,2023-06-01,535
Edo,South South,2019-01-01,145.25
Edo,South South,2019-02-01,145.33333333333334
Edo,South South,2019-03-01,144.77272727272728
Edo,South South,2019-04-01,145
Edo,South South,2019-05-01,145
Edo,South South,2019-06-01,144.72727272727272
Edo,South South,2019-07-01,145
Edo,South South,2019-08-01,145
Edo,South South,2019-09-01,145
Edo,South South,2019-10-01,144.46153846153845
